titleItalian,titleEnglish,genre,CEFR,italian,english
Imparare nuovo vocabolario,Learning New Vocabulary,monologue,A1,"Ciao! Mi chiamo Laura. Oggi voglio parlare del mio studio dell’italiano. Ogni giorno imparo nuove parole. Per me è molto interessante, ma anche un po’ difficile. Quando vedo una parola nuova, la scrivo in un quaderno. Dopo, leggo il quaderno la sera, prima di dormire. A volte ripeto le parole ad alta voce. Così la mia memoria è più forte. Per esempio, ieri ho imparato le parole bicchiere, sedia e amico. Oggi le ricordo bene! Mi piace molto quando uso una parola nuova in una conversazione. Mi sento contenta e un po’ orgogliosa. Penso che, piano piano, con pazienza, posso imparare tante parole italiane.","Hi! My name is Laura. Today I want to talk about my Italian studies. I learn new words every day. It's very interesting for me, but also a little difficult. When I see a new word, I write it down in a notebook. Then, I read it in the evening, before going to bed. Sometimes I repeat the words out loud. This helps my memory. For example, yesterday I learned the words bicchiere (glass), sedia (chair), and amico (friend). Today I remember them well! I really enjoy using a new word in a conversation. I feel happy and a little proud. I think that, little by little, with patience, I can learn many Italian words."
Pulire la mia stanza,Cleaning My Room,monologue,A1,"Oggi pulisco la mia camera. Prima, metto i vestiti sporchi nel cesto. Poi piego i vestiti puliti e li metto nell’armadio. Dopo, sistemo i libri sul tavolo e raccolgo la carta dal pavimento. Apro la finestra perché voglio aria fresca. Prendo la scopa e pulisco il pavimento. Alla fine passo un panno sul tavolo e sul comodino. Adesso la mia camera è pulita e io sono contento.","Today I'm cleaning my room. First, I put my dirty clothes in the hamper. Then I fold my clean clothes and put them in the closet. Afterward, I arrange my books on the table and pick up the paper from the floor. I open the window because I want fresh air. I take the broom and clean the floor. Finally, I wipe the table and bedside table. Now my room is clean and I'm happy."
Preparare biscotti,Baking Cookies,monologue,A1,,
La mia città preferita,My Favorite City,monologue,A1,,
Una giornata al parco divertimenti,A Day at an Amusement Park,monologue,A1,,
Una giornata allo zoo,A Day at the Zoo,monologue,A1,,
Una giornata in campagna,A Day in the Countryside,monologue,A1,,
Chiedere indicazioni,Asking for Directions,dialogue,A1,,
Chiedere aiuto in aeroporto,Asking for Help at the Airport,dialogue,A1,,
Chiedere l'accesso al Wi-Fi,Asking for Wi-Fi Access,dialogue,A1,,
Dal dentista,At the Dentist,dialogue,A1,,
Prenotare una camera d'albergo,Booking a Hotel Room,dialogue,A1,,
Fare il check-in in hotel,Checking into a Hotel,dialogue,A1,,
Costa del Sol,Costa del Sol,travel,A1,,
Aspetti pericolosi dei social media,Dangerous Aspects of Social Media,technology,A1,,
Oasi nel deserto,Desert Oases,science,A1,,
Parlare di un'allergia,Discussing an Allergy,dialogue,A1,,
Gli animali hanno una personalità?,Do Animals Have Personalities?,psychology,A1,,
Terremoti,Earthquakes,science,A1,,
Kit di pronto soccorso,First Aid Kits,health,A1,,
Auto volanti,Flying Cars,science fiction,A1,,
Tagliarsi i capelli,Getting a Haircut,dialogue,A1,,
Alimentazione sana,Healthy Eating,health,A1,,
Invitare un amico a una festa,Inviting a Friend to a Party,dialogue,A1,,
La colazione è importante?,Is Breakfast Important?,health,A1,,
Vita su Marte,Life on Mars,science fiction,A1,,
Magneti nella vita di tutti i giorni,Magnets in Everyday Life,technology,A1,,
Metropoli,Metropolis,science fiction,A1,,
Funghi,Mushrooms,food,A1,,
La mia classe,My Classroom,monologue,A1,,
Il mio cibo preferito,My Favorite Food,monologue,A1,,
Il mio hobby preferito,My Favorite Hobby,monologue,A1,,
Il mio primo tentativo in cucina,My First Cooking Attempt,monologue,A1,,
La mia casa,My Home,monologue,A1,,
Il mio tragitto mattutino per andare al lavoro,My Morning Commute,monologue,A1,,
La mia routine mattutina,My Morning Routine,monologue,A1,,
Il mio quartiere,My Neighborhood,monologue,A1,,
I miei animali domestici,My Pets,monologue,A1,,
Capodanno in Spagna,New Year's Eve in Spain,culture,A1,,
Animali notturni,Nocturnal Animals,science,A1,,
Ordinare il gelato,Ordering Ice Cream,dialogue,A1,,
Fare i bagagli per una vacanza,Packing for a Vacation,monologue,A1,,
Patatas bravas,Patatas bravas,food,A1,,
Sistemi politici mondiali,Political Systems of the World,politics,A1,,
Acquistare souvenir commestibili,Shopping for Edible Souvenirs,dialogue,A1,,
Fare la spesa,Shopping for Groceries,monologue,A1,,
Semplici consigli per dormire meglio,Simple Tips for Better Sleep,health,A1,,
La città incantata,Spirited Away,fantasy,A1,,
Rimanere attivi in ​​casa,Staying Active Indoors,health,A1,,
Sushi,Sushi,food,A1,,
Il controllo di sicurezza in aeroporto,The Airport Security Check,dialogue,A1,,
Il panificio,The Bakery,dialogue,A1,,
La spiaggia,The Beach,dialogue,A1,,
La libreria,The Bookstore,dialogue,A1,,
Il campeggio,The Campsite,dialogue,A1,,
Il bar dei gatti,The Cat Cafe,dialogue,A1,,
Il minimarket,The Convenience Store,dialogue,A1,,
Lo specchio maledetto,The Cursed Mirror,horror,A1,,
Lo studio medico,The Doctor's Office,dialogue,A1,,
Il negozio di elettronica,The Electronics Store,dialogue,A1,,
Il primo giorno di un nuovo lavoro,The First Day at a New Job,monologue,A1,,
Il tesoro nascosto,The Hidden Treasure,monologue,A1,,
Il cinema,The Movie Theater,dialogue,A1,,
La farmacia,The Pharmacy,dialogue,A1,,
La porta segreta,The Secret Door,monologue,A1,,
Il sistema solare,The Solar System,science,A1,,
Il taxi,The Taxi,dialogue,A1,,
L'appuntamento terribile,The Terrible Date,dialogue,A1,,
La stazione ferroviaria,The Train Station,dialogue,A1,,
L'era vichinga,The Viking Age,history,A1,,
Il meteo di oggi,Today's Weather,monologue,A1,,
Intrappolato All'interno,Trapped Inside,horror,A1,,
Tipicamente romano,Typically Roman,culture,A1,,
Visitare un museo,Visiting a Museum,monologue,A1,,
Visitare un acquario,Visiting an Aquarium,monologue,A1,,
Cos'è la gentilezza?,What is Kindness?,psychology,A1,,
Cos'è la politica?,What is Politics?,politics,A1,,
Cos'è il Wi-Fi?,What is Wi-Fi?,technology,A1,,
Perché gli animali ci rendono felici?,Why Do Animals Make Us Happy?,psychology,A1,,
Perché Roma è così importante?,Why Is Rome So Important?,history,A1,,
Perché le piante hanno bisogno della luce solare,Why Plants Need Sunlight,science,A1,,
Un giorno in biblioteca,A Day at the Library,monologue,A2,,
Una cena per due,A Dinner for Two,dialogue,A2,,
Albert Einstein,Albert Einstein,biography,A2,,
Intelligenza artificiale,Artificial Intelligence,technology,A2,,
Barcellona,Barcelona,travel,A2,,
Paesi baschi,Basque,language,A2,,
Balenottere azzurre,Blue Whales,science,A2,,
Consigli per viaggi low cost,Budget Travel Tips,travel,A2,,
Buenos Aires,Buenos Aires,travel,A2,,
Acquistare souvenir,Buying Souvenirs,dialogue,A2,,
Chiamare un'ambulanza,Calling an Ambulance,dialogue,A2,,
Hotel capsula,Capsule Hotels,travel,A2,,
Catalano,Catalan,language,A2,,
Parchi cittadini,City Parks,travel,A2,,
Comfort food,Comfort Food,food,A2,,
Bussole,Compasses,technology,A2,,
Sushi sul nastro trasportatore,Conveyor Belt Sushi,food,A2,,
Cordova,Córdoba,travel,A2,,
Giorno dei morti,Day of the Dead,culture,A2,,
Dinosauri,Dinosaurs,science,A2,,
Don Chisciotte,Don Quixote,drama,A2,,
Empanadas,Empanadas,food,A2,,
Esplorare una foresta,Exploring a Forest,monologue,A2,,
Esplorare Parigi,Exploring Paris,monologue,A2,,
Spagnolo formale,Formal Spanish,language,A2,,
Gazpacho,Gazpacho,food,A2,,
George Orwell,George Orwell,biography,A2,,
GPS,GPS,technology,A2,,
Guernica,Guernica,culture,A2,,
Letargo,Hibernation,science,A2,,
Omaggio alla Catalogna,Homage to Catalonia,history,A2,,
Come i colori influenzano le emozioni,How Colors Affect Emotions,psychology,A2,,
Come nascono le stelle,How Stars Are Born,science,A2,,
Spezie indiane,Indian Spices,food,A2,,
Ramen istantaneo,Instant Ramen,food,A2,,
Comunicazione intergalattica,Intergalactic Communication,science fiction,A2,,
Gennaio in Spagna,January in Spain,culture,A2,,
Giugno in Spagna,June in Spain,culture,A2,,
Ladino,Ladino,language,A2,,
Londra,London,travel,A2,,
Madrid,Madrid,travel,A2,,
Maggio in Spagna,May in Spain,culture,A2,,
Miguel de Cervantes,Miguel de Cervantes,biography,A2,,
Ottobre in Spagna,October in Spain,culture,A2,,
Pablo Picasso,Pablo Picasso,biography,A2,,
Paella,Paella,food,A2,,
Osservare la gente in un Stazione ferroviaria,People-Watching in a Train Station,monologue,A2,,
Pizza,Pizza,food,A2,,
Partiti politici in Spagna,Political Parties in Spain,politics,A2,,
Prepararsi per un esame,Preparing for an Exam,monologue,A2,,
Riciclo,Recycling,technology,A2,,
Differenze regionali in spagnolo,Regional Differences in Spanish,language,A2,,
Roma,Rome,travel,A2,,
Sagrada Familia,Sagrada Família,culture,A2,,
Salvador Dalí,Salvador Dalí,biography,A2,,
Auto a guida autonoma,Self-Driving Cars,technology,A2,,
Seul,Seoul,travel,A2,,
Settembre in Spagna,September in Spain,culture,A2,,
Shopping di vestiti,Shopping for Clothes,dialogue,A2,,
Piaceri semplici,Simple Pleasures,monologue,A2,,
Case intelligenti,Smart Homes,technology,A2,,
Energia solare in Spagna,Solar Power in Spain,technology,A2,,
Colazione romana,Roman Breakfast,food,A2,,
Cena romana,Roman Dinner,food,A2,,
Pranzo romano,Roman Lunch,food,A2,,
Cibo da strada,Street Food,food,A2,,
Simbolismo negli oggetti di uso quotidiano,Symbolism in Everyday Objects,drama,A2,,
Tapas,Tapas,food,A2,,
I Beatles,The Beatles,culture,A2,,
Il Grand Canyon,The Grand Canyon,travel,A2,,
La Grande Muraglia cinese,The Great Wall of China,travel,A2,,
Il portafoglio smarrito,The Lost Wallet,dialogue,A2,,
La dieta mediterranea,The Mediterranean Diet,health,A2,,
La città vecchia di Gerusalemme,The Old City of Jerusalem,travel,A2,,
La stazione di polizia,The Police Station,dialogue,A2,,
L'ufficio postale,The Post Office,dialogue,A2,,
Il ristorante,The Restaurant,dialogue,A2,,
Il ruolo della fortuna nella storia,The Role of Luck in History,history,A2,,
Lo zombi,The Zombie,horror,A2,,
Viaggiare da soli in Spagna,Traveling Alone in Spain,monologue,A2,,
Utopie e distopie,Utopias and Dystopias,drama,A2,,
Vulcani,Volcanoes,science,A2,,
Programmi per il weekend,Weekend Plans,dialogue,A2,,
Perché il cielo è blu,Why the Sky is Blue,science,A2,,
Perché sogniamo,Why We Dream,psychology,A2,,
Una lite in famiglia a cena,A Family Argument at Dinner,dialogue,B1,,
Un malinteso sul lavoro,A Misunderstanding at Work,dialogue,B1,,
Le cronache del ghiaccio e del fuoco,A Song of Ice and Fire,fantasy,B1,,
Animal Crossing,Animal Crossing,culture,B1,,
Antieroi,Antiheroes,drama,B1,,
Aprile in Spagna,April in Spain,culture,B1,,
Atomic Abitudini,Atomic Habits,psychology,B1,,
Agosto in Spagna,August in Spain,culture,B1,,
Berlino,Berlin,travel,B1,,
Biohacking,Biohacking,health,B1,,
Animali bioluminescenti,Bioluminescent Animals,science,B1,,
Teoria dell'ordine di nascita,Birth Order Theory,psychology,B1,,
Zone blu,Blue Zones,health,B1,,
Buddismo,Buddhism,philosophy,B1,,
Cliché,Clichés,drama,B1,,
Cambiamenti climatici,Climate Change,science,B1,,
Lamentarsi di un servizio,Complaining About a Service,dialogue,B1,,
Confessioni di un vampiro annoiato,Confessions of a Bored Vampire,monologue,B1,,
Cucinare nella cucina di un ostello,Cooking in a Hostel Kitchen,monologue,B1,,
Lingue morte,Dead Languages,language,B1,,
Dicembre in Spagna,December in Spain,culture,B1,,
Democrazia nell'antica Atene,Democracy in Ancient Athens,history,B1,,
Diego Rivera,Diego Rivera,biography,B1,,
Disintossicazione digitale,Digital Detoxes,health,B1,,
Domesticazione,Domestication,science,B1,,
Dracula,Dracula,horror,B1,,
Febbraio in Spagna,February in Spain,culture,B1,,
Abbinamento di sapori,Flavor Pairing,food,B1,,
Frankenstein,Frankenstein,horror,B1,,
Frida Kahlo,Frida Kahlo,biography,B1,,
Funghi,Fungi,science,B1,,
Game design,Game Design,technology,B1,,
Gestire un disaccordo,Handling a Disagreement,dialogue,B1,,
Hannah Arendt,Hannah Arendt,biography,B1,,
L'Avana,Havana,travel,B1,,
Sindrome dell'impostore,Impostor Syndrome,psychology,B1,,
Presentazione,Introducing Myself,monologue,B1,,
Luglio in Spagna,July in Spain,culture,B1,,
Imparare una nuova lingua,Learning a New Language,monologue,B1,,
Liminalità,Liminality,drama,B1,,
Bacchette magiche,Magic Wands,fantasy,B1,,
Fare amicizia in viaggio,Making Friends While Traveling,travel,B1,,
Marzo in Spagna,March in Spain,culture,B1,,
Città del Messico,Mexico City,travel,B1,,
Miami,Miami,travel,B1,,
Minimalismo,Minimalism,philosophy,B1,,
Nintendo,Nintendo,culture,B1,,
Novembre in Spagna,November in Spain,culture,B1,,
Oslo,Oslo,travel,B1,,
Pianificare una giornata di Avventura,Planning a Day of Adventure,monologue,B1,,
Mappe del trasporto pubblico,Public Transit Maps,travel,B1,,
Rimpianto,Regret,psychology,B1,,
Passaggi segreti,Secret Passageways,fantasy,B1,,
Città intelligenti,Smart Cities,technology,B1,,
Ansia sociale,Social Anxiety,psychology,B1,,
Stoicismo,Stoicism,philosophy,B1,,
Storie dentro storie,Stories Within Stories,drama,B1,,
Supercibi,Superfoods,health,B1,,
Pesce sostenibile,Sustainable Seafood,food,B1,,
Apprendimento tattile,Tactile Learning,psychology,B1,,
Il check-in in aeroporto,The Airport Check-In,dialogue,B1,,
Le basi della programmazione,The Basics of Coding,technology,B1,,
Il muro di Berlino,The Berlin Wall,history,B1,,
La teoria del Big Bang,The Big Bang Theory,science,B1,,
Il cambio valuta,The Currency Exchange,dialogue,B1,,
L'effetto Dunning-Kruger,The Dunning–Kruger Effect,psychology,B1,,
Lo spettacolo di flamenco,The Flamenco Show,monologue,B1,,
Il viaggio dell'eroe,The Hero’s Journey,fantasy,B1,,
La storia delle mappe,The History of Maps,history,B1,,
La rivoluzione industriale,The Industrial Revolution,history,B1,,
La psicologia della felicità,The Psychology of Happiness,psychology,B1,,
Il Rinascimento,The Renaissance,history,B1,,
L'energia segreta delle piante,The Secret Energy of Plants,science,B1,,
Shining,The Shining,horror,B1,,
Le piccole scelte che ci plasmano,The Small Choices That Shape Us,dialogue,B1,,
L'Inquisizione spagnola,The Spanish Inquisition,history,B1,,
Il problema dei tre corpi,The Three-Body Problem,science fiction,B1,,
The Truman Show,The Truman Show,drama,B1,,
Il mago di Oz,The Wizard of Oz,fantasy,B1,,
Case minuscole,Tiny Homes,culture,B1,,
Tragici difetti nella letteratura,Tragic Flaws in Literature,drama,B1,,
Tropi,Tropes,drama,B1,,
Alleanze improbabili nella storia,Unlikely Alliances in History,history,B1,,
Mezzi di trasporto insoliti,Unusual Modes of Transportation,travel,B1,,
Vaccini,Vaccines,health,B1,,
Virus,Viruses,science,B1,,
"Wicked, parte I","Wicked, Part I",fantasy,B1,,
"Wicked, parte II","Wicked, Part II",fantasy,B1,,
Sistemi di scrittura,Writing Systems,language,B1,,
Intelligenza artificiale e medicina,AI and Medicine,technology,B2,,
Storia alternativa,Alternate History,fantasy,B2,,
Antica Roma,Ancient Rome,history,B2,,
Diritti degli animali,Animal Rights,philosophy,B2,,
Intelligenza artificiale nella narrativa,Artificial Intelligence in Fiction,science fiction,B2,,
Ateismo,Atheism,philosophy,B2,,
Buchi neri,Black Holes,science,B2,,
Roghi di libri,Book Burnings,history,B2,,
Società senza contanti,Cashless Societies,technology,B2,,
Che Guevara,Che Guevara,biography,B2,,
Cristianesimo,Christianity,philosophy,B2,,
Ritmi circadiani,Circadian Rhythms,health,B2,,
Claudia Sheinbaum,Claudia Sheinbaum,biography,B2,,
Pregiudizi cognitivi,Cognitive Biases,psychology,B2,,
Teorie del complotto,Conspiracy Theories,psychology,B2,,
Desiderio contro desiderio,Craving Versus Longing,psychology,B2,,
Cyberpunk,Cyberpunk,science fiction,B2,,
Dibattito su un film controverso,Debating a Controversial Film,dialogue,B2,,
Nomadi digitali,Digital Nomads,culture,B2,,
I sogni come espedienti narrativi,Dreams as a Narrative Devices,drama,B2,,
Dualità nei personaggi,Dualities in Characters,drama,B2,,
Se mi lasci ti cancello,Eternal Sunshine of the Spotless Mind,drama,B2,,
Consumismo etico,Ethical Consumerism,philosophy,B2,,
Eva Perón,Eva Perón,biography,B2,,
Esopianeti,Exoplanets,science,B2,,
Esplorando una casa infestata,Exploring a Haunted House,horror,B2,,
Femminismo,Feminism,politics,B2,,
Spagna franchista,Francoist Spain,history,B2,,
Friedrich Nietzsche,Friedrich Nietzsche,biography,B2,,
Icone gay,Gay Icons,culture,B2,,
Homo Deus,Homo Deus,history,B2,,
Islam,Islam,philosophy,B2,,
Jorge Luis Borges,Jorge Luis Borges,biography,B2,,
Ebraismo,Judaism,philosophy,B2,,
Liberalismo,Liberalism,politics,B2,,
,Lost in Space,science fiction,B2,,
,Lost in Translation,drama,B2,,
,Maglev Trains,technology,B2,,
,Meditation,psychology,B2,,
,Mental Health,health,B2,,
,Mesopotamia,history,B2,,
,Mob Mentalities,psychology,B2,,
,Modern Dictatorships,politics,B2,,
,Modern Propaganda,politics,B2,,
,Multitasking,psychology,B2,,
,Natalie Wynn,philosophy,B2,,
,Neurodiversity,psychology,B2,,
,Nineteen Eighty-Four,drama,B2,,
,Overcoming a Language Barrier,monologue,B2,,
,Personality Traits,psychology,B2,,
,Phoenixes,fantasy,B2,,
,Procrastination,psychology,B2,,
,Queer Life in Spain,culture,B2,,
,Sapiens,history,B2,,
,Scandinavian Design,culture,B2,,
,Smartphones,technology,B2,,
,Social Media,technology,B2,,
,Socrates' Quest for Truth,philosophy,B2,,
,Spanish–United States Relations,history,B2,,
,Staple Foods,food,B2,,
,Terraforming Mars,science fiction,B2,,
,The Allegory of the Cave,philosophy,B2,,
,The Allure of Hidden Places,psychology,B2,,
,The Cabin in the Dark,horror,B2,,
,The City in the Trees,fantasy,B2,,
,The Cold War,history,B2,,
,The Crisis of Masculinity,culture,B2,,
,The Ethics of Artificial Intelligence,technology,B2,,
,The Fear of Missing Out,psychology,B2,,
,The Future of Work,technology,B2,,
,The Lives of Others,drama,B2,,
,The Nation-State,politics,B2,,
,The Norse Gods,fantasy,B2,,
,The Placebo Effect,psychology,B2,,
,The Psychology of Loneliness,psychology,B2,,
,The Raven,horror,B2,,
,The Role of Travel in Self-Discovery,travel,B2,,
,The Space Race,history,B2,,
,The Spanish Civil War,history,B2,,
,The Spanish Empire,history,B2,,
,The Theory of Evolution,science,B2,,
,The Uncanny Valley,psychology,B2,,
,The United Nations,politics,B2,,
,Tokyo,travel,B2,,
,Vegetarian Cooking,food,B2,,
,What is Beauty?,philosophy,B2,,
,Why I Collect Maps,monologue,B2,,
,World War I,history,B2,,
,World War II,history,B2,,
,World-Building,fantasy,B2,,
,Zen Buddhism,philosophy,B2,,
,Alan Watts,biography,C,,
,An Enemy of the People,drama,C,,
,Authoritarian Populism,politics,C,,
,Catching Up After Years Apart,dialogue,C,,
,Colonialism,history,C,,
,Death in Philosophy,philosophy,C,,
,Envy,psychology,C,,
,Existentialism,philosophy,C,,
,Fascism,politics,C,,
,Fermented Foods,food,C,,
,Free Will,philosophy,C,,
,Horseshoe Theory,politics,C,,
,Identity,psychology,C,,
,Impermanence,philosophy,C,,
,Marxism,politics,C,,
,Nazis in Argentina,history,C,,
,Nothingness,philosophy,C,,
,Pattern Recognition,psychology,C,,
,Peer Gynt,drama,C,,
,Political Polarization,politics,C,,
,Political Satire,politics,C,,
,Sigmund Freud,biography,C,,
,Simone de Beauvoir,biography,C,,
,Social Welfare States,politics,C,,
,Socratic Philosophy,philosophy,C,,
,Spanish in the United States,language,C,,
,"Synecdoche, New York",psychology,C,,
,The Banality of Evil,philosophy,C,,
,The Constitution of Spain,politics,C,,
,The Good Life,philosophy,C,,
,The History of Disinformation,history,C,,
,The Kafkaesque,drama,C,,
,The Legend of Zelda - Ocarina of Time,culture,C,,
,The Metamorphosis,drama,C,,
,The Paradox of Choice,psychology,C,,
,The Philosophy of Second Languages,philosophy,C,,
,The Weight of Ordinary Lives,dialogue,C,,
,The Wild Duck,drama,C,,
,Time Travel,fantasy,C,,
,White Lies,philosophy,C,,